Value Research,,,,,
Franklin India Smaller Companies Fund,-9.28,0.92,11.02,NA,NA
Franklin India Smaller Companies Fund - Direct Plan,-8.29,2.10,NA,NA,NA
Franklin India Taxshield Fund,-1.93,2.28,9.75,12.95,15.42
Franklin India Taxshield Fund - Direct Plan,-0.97,3.29,NA,NA,NA
Franklin India Technology Fund,17.32,10.90,12.86,13.48,10.09
Franklin India Technology Fund - Direct Plan,18.14,11.65,NA,NA,NA
HDFC Capital Builder Value Fund,-1.09,4.24,9.14,12.85,15.83
HDFC Capital Builder Value Fund - Direct Plan,-0.01,5.37,NA,NA,NA
HDFC Equity Fund,-1.62,3.17,7.97,14.04,18.17
HDFC Equity Fund - Direct Plan,-0.89,3.98,NA,NA,NA
HDFC Equity Opportunities Fund II 1100D June 2017 (1) - Direct Plan,-4.26,NA,NA,NA,NA
HDFC Equity Opportunities Fund II 1100D June 2017 (1) - Regular Plan,-5.33,NA,NA,NA,NA
HDFC Equity Opportunities Fund II 1126D May 2017 (1) - Direct Plan,-3.16,NA,NA,NA,NA
HDFC Equity Opportunities Fund II 1126D May 2017 (1) - Regular Plan,-4.13,NA,NA,NA,NA
HDFC Focused 30 Fund,-4.50,1.54,5.51,10.71,NA
HDFC Focused 30 Fund - Direct Plan,-3.58,2.58,NA,NA,NA
HDFC Growth Opportunities Fund - Direct Plan,-1.29,1.89,NA,NA,NA
HDFC Growth Opportunities Fund - Regular Plan,-1.45,1.74,5.16,8.87,10.87
HDFC Housing Opportunities Fund Series 1 1140D November 2017 (1) - Direct Plan,NA,NA,NA,NA,NA
HDFC Housing Opportunities Fund Series 1 1140D November 2017 (1) - Regular Plan,NA,NA,NA,NA,NA
HDFC Index Fund Nifty 50 Plan,4.63,5.94,7.91,10.61,NA
HDFC Index Fund Nifty 50 Plan - Direct Plan,4.82,6.12,NA,NA,NA
HDFC Index Fund - Sensex Plan,6.35,6.71,8.37,11.03,NA
HDFC Index Fund - Sensex Plan - Direct Plan,6.55,6.89,NA,NA,NA
HDFC Infrastructure Fund,-18.72,-8.51,-1.34,NA,NA
HDFC Infrastructure Fund - Direct Plan,-18.08,-7.76,NA,NA,NA
HDFC Long Term Advantage Fund,1.14,6.68,9.86,12.36,NA
HDFC Long Term Advantage Fund - Direct Plan,1.72,7.32,NA,NA,NA
HDFC Mid-Cap Opportunities Fund,-2.89,5.07,12.67,NA,NA
HDFC Mid-Cap Opportunities Fund - Direct Plan,-2.02,6.03,NA,NA,NA
HDFC Nifty 50 ETF,5.06,NA,NA,NA,NA
HDFC Retirement Savings Fund Equity Plan - Direct Plan,2.22,NA,NA,NA,NA
HDFC Retirement Savings Fund Equity Plan - Regular Plan,0.78,NA,NA,NA,NA
HDFC Sensex ETF,6.91,NA,NA,NA,NA
HDFC Small Cap Fund - Direct Plan,-3.36,5.89,NA,NA,NA
HDFC Small Cap Fund - Regular Plan,-4.55,4.59,8.45,NA,NA
HDFC Taxsaver Fund,-3.41,2.41,7.23,11.64,17.48
HDFC Taxsaver Fund - Direct Plan,-2.78,3.07,NA,NA,NA
HDFC Top 100 Fund,-0.27,4.16,7.99,14.09,17.86
HDFC Top 100 Fund - Direct Plan,0.39,4.87,NA,NA,NA
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Direct Plan,8.77,9.44,NA,NA,NA
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Regular Plan,7.98,8.66,NA,NA,NA
HSBC Brazil Fund,-0.36,2.76,NA,NA,NA
HSBC Brazil Fund - Direct Plan,0.38,NA,NA,NA,NA
HSBC Focused Equity Fund - Direct Plan,NA,NA,NA,NA,NA
HSBC Focused Equity Fund - Regular Plan,NA,NA,NA,NA,NA
HSBC Global Consumer Opportunities Fund - Direct Plan,11.22,9.21,NA,NA,NA
HSBC Global Consumer Opportunities Fund - Regular Plan,10.43,8.44,NA,NA,NA
HSBC Global Emerging Markets Fund,7.43,8.21,5.93,NA,NA
HSBC Global Emerging Markets Fund - Direct Plan,8.20,NA,NA,NA,NA
HSBC Infrastructure Equity Fund,-17.85,-8.43,-0.81,NA,NA
HSBC Infrastructure Equity Fund - Direct Plan,-17.06,-7.64,NA,NA,NA
HSBC Large and Mid Cap Equity Fund - Direct Plan,NA,NA,NA,NA,NA
HSBC Large and Mid Cap Equity Fund - Regular Plan,NA,NA,NA,NA,NA
HSBC Large Cap Equity Fund,2.83,6.17,7.63,11.62,NA
HSBC Large Cap Equity Fund - Direct Plan,3.67,6.99,NA,NA,NA
HSBC Multi Cap Equity Fund,-1.38,3.64,9.08,11.81,NA
HSBC Multi Cap Equity Fund - Direct Plan,-0.48,4.51,NA,NA,NA
HSBC Small Cap Equity Fund,-8.69,-0.07,5.63,8.65,NA
HSBC Small Cap Equity Fund - Direct Plan,-7.76,0.84,NA,NA,NA
HSBC Tax Saver Equity Fund,-1.93,4.31,8.86,NA,NA
HSBC Tax Saver Equity Fund - Direct Plan,-1.01,5.20,NA,NA,NA
ICICI Prudential Bank ETF,NA,NA,NA,NA,NA
ICICI Prudential Banking and Financial Services Fund,-4.40,5.92,11.83,NA,NA
ICICI Prudential Banking and Financial Services Fund - Direct Plan,-3.38,7.12,NA,NA,NA
ICICI Prudential BHARAT 22 FOF,NA,NA,NA,NA,NA
ICICI Prudential BHARAT 22 FOF - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Series 1,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Series 1 - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Series 2,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Series 2 - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Series 3,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Series 3 - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Series 4,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Series 4 - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Series 5,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund - Series 5 - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Bluechip Fund,2.85,6.10,10.40,NA,NA
ICICI Prudential Bluechip Fund - Direct Plan,3.70,7.04,NA,NA,NA
ICICI Prudential Commodities Fund,NA,NA,NA,NA,NA
ICICI Prudential Commodities Fund - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Dividend Yield Equity Fund,-5.45,3.11,NA,NA,NA
ICICI Prudential Dividend Yield Equity Fund - Direct Plan,-4.68,3.86,NA,NA,NA
ICICI Prudential Exports and Services Fund,0.35,3.00,12.13,NA,NA
ICICI Prudential Exports and Services Fund - Direct Plan,1.24,3.89,NA,NA,NA
ICICI Prudential FMCG Fund,5.80,8.48,14.64,16.55,17.31
ICICI Prudential FMCG Fund - Direct Plan,6.72,9.35,NA,NA,NA
ICICI Prudential Focused Equity Fund,2.46,5.06,8.40,NA,NA
ICICI Prudential Focused Equity Fund - Direct Plan,3.51,6.25,NA,NA,NA
ICICI Prudential Global Advantage Fund (FOF),NA,NA,NA,NA,NA
ICICI Prudential Global Advantage Fund (FOF) - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Global Stable Equity Fund (FOF),6.89,6.56,NA,NA,NA
ICICI Prudential Global Stable Equity Fund (FOF) - Direct Plan,7.75,7.39,NA,NA,NA
ICICI Prudential Growth Fund - Series 1,3.40,5.80,NA,NA,NA
ICICI Prudential Growth Fund - Series 1 - Direct Plan,4.27,6.88,NA,NA,NA
ICICI Prudential Growth Fund - Series 2,4.52,7.23,NA,NA,NA
ICICI Prudential Growth Fund - Series 2 - Direct Plan,5.36,8.30,NA,NA,NA
ICICI Prudential Growth Fund - Series 3,-0.16,3.23,NA,NA,NA
ICICI Prudential Growth Fund - Series 3 - Direct Plan,0.77,4.36,NA,NA,NA
ICICI Prudential India Equity FOF,NA,NA,NA,NA,NA
ICICI Prudential India Equity FOF - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential India Opportunities Fund,NA,NA,NA,NA,NA
ICICI Prudential India Opportunities Fund - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Infrastructure Fund,-6.35,-1.30,3.18,NA,NA
ICICI Prudential Infrastructure Fund - Direct Plan,-5.67,-0.60,NA,NA,NA
ICICI Prudential Large & Mid Cap Fund,-1.69,4.24,8.58,12.30,13.76
ICICI Prudential Large & Mid Cap Fund - Direct Plan,-0.72,5.29,NA,NA,NA
ICICI Prudential Long Term Equity Fund (Tax Saving),2.17,5.09,9.97,12.63,18.04
ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan,3.09,6.18,NA,NA,NA
ICICI Prudential Long Term Wealth Enhancement Fund,NA,NA,NA,NA,NA
ICICI Prudential Long Term Wealth Enhancement Fund - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Manufacture in India Fund,NA,NA,NA,NA,NA
ICICI Prudential Manufacture in India Fund - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Midcap 150 ETF,NA,NA,NA,NA,NA
ICICI Prudential Midcap Fund,-2.92,2.76,9.19,12.00,NA
ICICI Prudential Midcap Fund - Direct Plan,-1.89,3.80,NA,NA,NA
ICICI Prudential Midcap Select ETF,-4.29,NA,NA,NA,NA
ICICI Prudential MNC Fund,NA,NA,NA,NA,NA
ICICI Prudential MNC Fund - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Multicap Fund,-0.33,4.52,9.00,12.62,15.55
ICICI Prudential Multicap Fund - Direct Plan,0.68,5.59,NA,NA,NA
ICICI Prudential Nifty 100 ETF,3.97,6.09,NA,NA,NA
ICICI Prudential Nifty ETF,5.04,6.40,NA,NA,NA
ICICI Prudential Nifty Index Fund,4.22,5.55,7.91,12.07,NA
ICICI Prudential Nifty Index Fund - Direct Plan,4.65,5.96,NA,NA,NA
ICICI Prudential Nifty Low Vol 30 ETF,6.39,NA,NA,NA,NA
ICICI Prudential Nifty Next 50 ETF,NA,NA,NA,NA,NA
ICICI Prudential Nifty Next 50 Index Fund,-1.47,5.24,8.45,NA,NA
ICICI Prudential Nifty Next 50 Index Fund - Direct Plan,-1.06,5.70,NA,NA,NA
ICICI Prudential NV20 ETF,8.79,NA,NA,NA,NA
ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund,NA,NA,NA,NA,NA
ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Private Banks ETF,NA,NA,NA,NA,NA
ICICI Prudential Retirement Fund - Pure Equity Plan,NA,NA,NA,NA,NA
ICICI Prudential Retirement Fund - Pure Equity Plan - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Sensex ETF,6.86,7.06,9.06,12.58,NA
ICICI Prudential Sensex Index Fund,NA,NA,NA,NA,NA
ICICI Prudential Sensex Index Fund - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Smallcap Fund,-5.33,1.16,8.34,NA,NA
ICICI Prudential Smallcap Fund - Direct Plan,-4.37,1.97,NA,NA,NA
ICICI Prudential S&P BSE 500 ETF,NA,NA,NA,NA,NA
ICICI Prudential Technology Fund,16.16,9.13,14.95,14.63,12.77
ICICI Prudential Technology Fund - Direct Plan,17.13,10.03,NA,NA,NA
ICICI Prudential US Bluechip Equity Fund,16.84,13.18,NA,NA,NA
ICICI Prudential US Bluechip Equity Fund - Direct Plan,17.85,14.17,NA,NA,NA
ICICI Prudential Value Discovery Fund,1.06,3.78,11.61,15.37,NA
ICICI Prudential Value Discovery Fund - Direct Plan,1.82,4.77,NA,NA,NA
ICICI Prudential Value Fund - Series 12,1.42,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 12 - Direct Plan,2.70,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 13,-0.03,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 13 - Direct Plan,1.20,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 14,-0.59,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 14 - Direct Plan,0.77,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 15,-0.50,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 15 - Direct Plan,0.66,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 16,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 16 - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 17,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 17 - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 18,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 18 - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 19,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 19 - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 20,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 20 - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 8,NA,NA,NA,NA,NA
ICICI Prudential Value Fund - Series 8 - Direct Plan,NA,NA,NA,NA,NA
IDBI Banking & Financial Services Fund - Direct Plan,NA,NA,NA,NA,NA
IDBI Banking & Financial Services Fund - Regular Plan,NA,NA,NA,NA,NA
IDBI Diversified Equity Fund - Direct Plan,2.93,5.21,NA,NA,NA
IDBI Diversified Equity Fund - Regular Plan,1.14,3.64,NA,NA,NA
IDBI Dividend Yield Fund - Direct Plan,NA,NA,NA,NA,NA
IDBI Dividend Yield Fund - Regular Plan,NA,NA,NA,NA,NA
IDBI Equity Advantage Fund - Direct Plan,1.42,4.50,NA,NA,NA
IDBI Equity Advantage Fund - Regular Plan,-0.11,3.10,NA,NA,NA
IDBI Focused 30 Equity Fund - Direct Plan,NA,NA,NA,NA,NA
IDBI Focused 30 Equity Fund - Regular Plan,NA,NA,NA,NA,NA
IDBI Healthcare Fund - Direct Plan,NA,NA,NA,NA,NA
IDBI Healthcare Fund - Regular Plan,NA,NA,NA,NA,NA
IDBI India Top 100 Equity Fund,0.81,3.55,NA,NA,NA
IDBI India Top 100 Equity Fund - Direct Plan,2.35,4.95,NA,NA,NA
IDBI Long Term Value Fund - Direct Plan,NA,NA,NA,NA,NA
IDBI Long Term Value Fund - Regular Plan,NA,NA,NA,NA,NA
IDBI Midcap Fund - Direct Plan,-1.87,NA,NA,NA,NA
IDBI Midcap Fund - Regular Plan,-3.61,NA,NA,NA,NA
IDBI Nifty Index Fund,3.59,4.74,7.05,NA,NA
IDBI Nifty Index Fund - Direct Plan,4.65,5.89,NA,NA,NA
IDBI Nifty Junior Index Fund,-1.78,4.66,NA,NA,NA
IDBI Nifty Junior Index Fund - Direct Plan,-0.96,5.73,NA,NA,NA
IDBI Small Cap Fund - Direct Plan,-5.50,NA,NA,NA,NA
IDBI Small Cap Fund - Regular Plan,-7.33,NA,NA,NA,NA
IDFC Core Equity Fund - Direct Plan,-0.41,5.88,NA,NA,NA
IDFC Core Equity Fund - Regular Plan,-1.75,4.28,6.89,NA,NA
IDFC Emerging Businesses Fund - Direct Plan,NA,NA,NA,NA,NA
IDFC Emerging Businesses Fund - Regular Plan,NA,NA,NA,NA,NA
IDFC Equity Opportunity Series 4 - Direct Plan,NA,NA,NA,NA,NA
IDFC Equity Opportunity Series 4 - Regular Plan,NA,NA,NA,NA,NA
IDFC Equity Opportunity Series 5 - Direct Plan,NA,NA,NA,NA,NA
IDFC Equity Opportunity Series 5 - Regular Plan,NA,NA,NA,NA,NA
IDFC Equity Opportunity Series 6 - Direct Plan,NA,NA,NA,NA,NA
IDFC Equity Opportunity Series 6 - Regular Plan,NA,NA,NA,NA,NA
IDFC Focused Equity Fund - Direct Plan,1.63,6.94,NA,NA,NA
IDFC Focused Equity Fund - Regular Plan,0.07,5.27,6.89,NA,NA
IDFC Infrastructure Fund - Direct Plan,-9.97,-0.28,NA,NA,NA
IDFC Infrastructure Fund - Regular Plan,-11.18,-1.61,NA,NA,NA
IDFC Large Cap Fund - Direct Plan,3.97,6.69,NA,NA,NA
IDFC Large Cap Fund - Regular Plan,3.01,5.39,7.70,NA,NA
IDFC Multi Cap Fund - Direct Plan,-0.81,3.06,NA,NA,NA
IDFC Multi Cap Fund - Regular Plan,-1.51,2.31,10.46,NA,NA
IDFC Nifty ETF,5.13,NA,NA,NA,NA
IDFC Nifty Fund - Direct Plan,5.09,6.29,NA,NA,NA
IDFC Nifty Fund - Regular Plan,4.96,6.17,8.44,NA,NA
IDFC Sensex ETF,6.88,NA,NA,NA,NA
IDFC Sterling Value Fund - Direct Plan,-6.69,2.43,NA,NA,NA
IDFC Sterling Value Fund - Regular Plan,-7.74,1.40,8.16,NA,NA
IDFC Tax Advantage (ELSS) Fund - Direct Plan,-0.16,5.00,NA,NA,NA
IDFC Tax Advantage (ELSS) Fund - Regular Plan,-1.35,3.79,9.87,NA,NA
IIFL Focused Equity Fund - Direct Plan,8.05,10.92,NA,NA,NA
IIFL Focused Equity Fund - Regular Plan,6.45,9.50,NA,NA,NA
Indiabulls Bluechip Fund,1.51,5.32,NA,NA,NA
Indiabulls Bluechip Fund - Direct Plan,3.04,7.07,NA,NA,NA
Indiabulls Nifty 50 Exchange Traded Fund - Regular Plan,NA,NA,NA,NA,NA
Indiabulls Tax Savings Fund - Direct Plan,NA,NA,NA,NA,NA
Indiabulls Tax Savings Fund - Regular Plan,NA,NA,NA,NA,NA
Indiabulls Value Fund - Direct Plan,-5.37,NA,NA,NA,NA
Indiabulls Value Fund - Regular Plan,-6.83,NA,NA,NA,NA
Invesco India Contra Fund,5.71,8.33,11.58,NA,NA
Invesco India Contra Fund - Direct Plan,7.05,9.83,NA,NA,NA
Invesco India Feeder- Invesco Global Equity Income Fund - Direct Plan,5.10,4.82,NA,NA,NA
Invesco India Feeder- Invesco Global Equity Income Fund - Regular Plan,4.05,3.69,NA,NA,NA
Invesco India Feeder- Invesco Pan European Equity Fund - Direct Plan,-0.19,0.38,NA,NA,NA
Invesco India Feeder- Invesco Pan European Equity Fund - Regular Plan,-1.06,-0.60,NA,NA,NA
Invesco India Financial Services Fund,0.46,6.95,10.55,NA,NA
Invesco India Financial Services Fund - Direct Plan,1.98,8.68,NA,NA,NA
Invesco India Growth Opportunities Fund,3.73,6.28,10.43,NA,NA
Invesco India Growth Opportunities Fund - Direct Plan,5.12,7.90,NA,NA,NA
Invesco India Infrastructure Fund,1.21,3.39,6.93,NA,NA
Invesco India Infrastructure Fund - Direct Plan,2.90,5.16,NA,NA,NA
Invesco India Largecap Fund,3.54,5.35,8.89,NA,NA
Invesco India Largecap Fund - Direct Plan,5.17,7.09,NA,NA,NA
Invesco India Mid Cap Fund,3.63,6.64,13.40,NA,NA
Invesco India Mid Cap Fund - Direct Plan,5.30,8.44,NA,NA,NA
Invesco India Multicap Fund,-0.32,4.28,12.57,NA,NA
Invesco India Multicap Fund - Direct Plan,1.19,5.94,NA,NA,NA
Invesco India Nifty Exchange Traded Fund,5.00,6.38,NA,NA,NA
Invesco India PSU Equity Fund,-0.27,4.71,5.34,NA,NA
Invesco India PSU Equity Fund - Direct Plan,1.09,6.30,NA,NA,NA
Invesco India Smallcap Fund - Direct Plan,NA,NA,NA,NA,NA
Invesco India Smallcap Fund - Regular Plan,NA,NA,NA,NA,NA
Invesco India Tax Plan,4.70,6.66,11.57,NA,NA
Invesco India Tax Plan - Direct Plan,6.17,8.29,NA,NA,NA
ITI Long Term Equity Fund - Direct Plan,NA,NA,NA,NA,NA
ITI Long Term Equity Fund - Regular Plan,NA,NA,NA,NA,NA
ITI Multi Cap Fund - Direct Plan,NA,NA,NA,NA,NA
ITI Multi Cap Fund - Regular Plan,NA,NA,NA,NA,NA
ITI Small Cap Fund - Direct Plan,NA,NA,NA,NA,NA
ITI Small Cap Fund - Regular Plan,NA,NA,NA,NA,NA
JM Core 11 Fund,-1.05,5.52,5.14,NA,NA
JM Core 11 Fund - Direct Plan,0.35,7.14,NA,NA,NA
JM Large Cap Fund,3.50,3.83,6.42,7.91,9.52
JM Large Cap Fund - Direct Plan,4.54,5.13,NA,NA,NA
JM Multicap Fund,1.89,6.04,7.38,NA,NA
JM Multicap Fund - Direct Plan,2.68,7.29,NA,NA,NA
JM Tax Gain Fund,2.67,5.91,8.06,NA,NA
JM Tax Gain Fund - Direct Plan,3.44,7.25,NA,NA,NA
JM Value Fund,-0.10,6.15,5.10,7.22,11.68
JM Value Fund - Direct Plan,0.55,7.31,NA,NA,NA
Kotak Banking ETF Fund Regular,-2.28,3.80,NA,NA,NA
Kotak Bluechip Fund - Direct Plan,4.89,6.83,NA,NA,NA
Kotak Bluechip Fund - Regular Plan,3.68,5.53,8.86,13.17,14.64
Kotak Emerging Equity Fund - Direct Plan,1.29,8.18,NA,NA,NA
Kotak Emerging Equity Fund Regular Plan,0.05,6.74,11.69,NA,NA
Kotak Equity Opportunities Fund - Direct Plan,4.18,8.46,NA,NA,NA
Kotak Equity Opportunities Fund - Regular Plan,2.97,7.12,10.25,14.28,NA
Kotak Focused Equity Fund - Direct Plan,NA,NA,NA,NA,NA
Kotak Focused Equity Fund - Regular Plan,NA,NA,NA,NA,NA
Kotak Global Emerging Market - Direct Plan,9.06,6.03,NA,NA,NA
