Value Research,,,
Franklin India Smaller Companies Fund - Direct Plan,EQ-SC,1.18,-15.93
Franklin India Taxshield Fund,EQ-ELSS,1.98,-10.56
Franklin India Taxshield Fund - Direct Plan,EQ-ELSS,1.05,-9.67
Franklin India Technology Fund,EQ-IT,2.42,22.61
Franklin India Technology Fund - Direct Plan,EQ-IT,1.46,23.71
HDFC Capital Builder Value Fund,EQ-VAL,1.98,-7.67
HDFC Capital Builder Value Fund - Direct Plan,EQ-VAL,1.18,-6.85
HDFC Equity Fund,EQ-MLC,1.80,-14.73
HDFC Equity Fund - Direct Plan,EQ-MLC,1.20,-14.25
HDFC Equity Opportunities Fund II 1100D June 2017 (1) - Direct Plan,EQ-LC,1.08,-16.78
HDFC Equity Opportunities Fund II 1100D June 2017 (1) - Regular Plan,EQ-LC,1.40,-17.07
HDFC Equity Opportunities Fund II 1126D May 2017 (1) - Direct Plan,EQ-LC,0.81,-15.62
HDFC Equity Opportunities Fund II 1126D May 2017 (1) - Regular Plan,EQ-LC,1.36,-16.04
HDFC Focused 30 Fund,EQ-MLC,2.53,-11.56
HDFC Focused 30 Fund - Direct Plan,EQ-MLC,1.68,-10.76
HDFC Growth Opportunities Fund - Direct Plan,EQ-L&MC,2.12,-7.56
HDFC Growth Opportunities Fund - Regular Plan,EQ-L&MC,2.37,-7.79
HDFC Housing Opportunities Fund Series 1 1140D November 2017 (1) - Direct Plan,EQ-THEMATIC,0.79,-18.98
HDFC Housing Opportunities Fund Series 1 1140D November 2017 (1) - Regular Plan,EQ-THEMATIC,1.34,-19.41
HDFC Index Fund Nifty 50 Plan,EQ-LC,0.30,-1.69
HDFC Index Fund Nifty 50 Plan - Direct Plan,EQ-LC,0.10,-1.51
HDFC Index Fund - Sensex Plan,EQ-LC,0.30,-0.07
HDFC Index Fund - Sensex Plan - Direct Plan,EQ-LC,0.10,0.19
HDFC Infrastructure Fund,EQ-INFRA,2.67,-32.82
HDFC Infrastructure Fund - Direct Plan,EQ-INFRA,1.92,-32.30
HDFC Long Term Advantage Fund,EQ-ELSS,2.21,-6.55
HDFC Long Term Advantage Fund - Direct Plan,EQ-ELSS,1.71,-6.08
HDFC Mid-Cap Opportunities Fund,EQ-MC,1.92,-3.38
HDFC Mid-Cap Opportunities Fund - Direct Plan,EQ-MC,1.12,-2.73
HDFC Nifty 50 ETF,EQ-LC,0.05,-1.12
HDFC Retirement Savings Fund Equity Plan - Direct Plan,EQ-MLC,1.18,-1.06
HDFC Retirement Savings Fund Equity Plan - Regular Plan,EQ-MLC,2.58,-2.31
HDFC Sensex ETF,EQ-LC,0.05,0.64
HDFC Small Cap Fund - Direct Plan,EQ-SC,0.93,-15.51
HDFC Small Cap Fund - Regular Plan,EQ-SC,1.93,-16.37
HDFC Taxsaver Fund,EQ-ELSS,2.02,-10.33
HDFC Taxsaver Fund - Direct Plan,EQ-ELSS,1.37,-9.82
HDFC Top 100 Fund,EQ-LC,1.88,-12.62
HDFC Top 100 Fund - Direct Plan,EQ-LC,1.28,-12.12
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Direct Plan,EQ-INTL,1.24,9.72
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Regular Plan,EQ-INTL,2.04,8.85
HSBC Brazil Fund,EQ-INTL,2.31,-25.07
HSBC Brazil Fund - Direct Plan,EQ-INTL,1.60,-24.48
HSBC Focused Equity Fund - Direct Plan,EQ-MLC,NA,NA
HSBC Focused Equity Fund - Regular Plan,EQ-MLC,NA,NA
HSBC Global Consumer Opportunities Fund - Direct Plan,EQ-INTL,1.48,15.21
HSBC Global Consumer Opportunities Fund - Regular Plan,EQ-INTL,2.16,14.38
HSBC Global Emerging Markets Fund,EQ-INTL,2.39,17.75
HSBC Global Emerging Markets Fund - Direct Plan,EQ-INTL,1.69,18.61
HSBC Infrastructure Equity Fund,EQ-INFRA,2.55,-20.73
HSBC Infrastructure Equity Fund - Direct Plan,EQ-INFRA,1.25,-19.66
HSBC Large and Mid Cap Equity Fund - Direct Plan,EQ-L&MC,0.81,0.28
HSBC Large and Mid Cap Equity Fund - Regular Plan,EQ-L&MC,2.42,-1.36
HSBC Large Cap Equity Fund,EQ-LC,2.49,-0.16
HSBC Large Cap Equity Fund - Direct Plan,EQ-LC,1.56,0.79
HSBC Multi Cap Equity Fund,EQ-MLC,2.51,-1.93
HSBC Multi Cap Equity Fund - Direct Plan,EQ-MLC,1.38,-0.79
HSBC Small Cap Equity Fund,EQ-SC,2.49,-8.51
HSBC Small Cap Equity Fund - Direct Plan,EQ-SC,1.09,-7.22
HSBC Tax Saver Equity Fund,EQ-ELSS,2.49,-3.64
HSBC Tax Saver Equity Fund - Direct Plan,EQ-ELSS,1.26,-2.39
ICICI Prudential Bank ETF,EQ-BANK,0.16,-22.38
ICICI Prudential Banking and Financial Services Fund,EQ-BANK,2.23,-20.46
ICICI Prudential Banking and Financial Services Fund - Direct Plan,EQ-BANK,1.19,-19.74
ICICI Prudential BHARAT 22 FOF,EQ-LC,0.01,-26.80
ICICI Prudential BHARAT 22 FOF - Direct Plan,EQ-LC,0.01,-26.80
ICICI Prudential Bharat Consumption Fund,EQ-Consumption,2.47,4.60
ICICI Prudential Bharat Consumption Fund - Direct Plan,EQ-Consumption,1.09,6.18
ICICI Prudential Bharat Consumption Fund - Series 1,EQ-Consumption,1.38,0.20
ICICI Prudential Bharat Consumption Fund - Series 1 - Direct Plan,EQ-Consumption,NA,0.49
ICICI Prudential Bharat Consumption Fund - Series 2,EQ-Consumption,1.39,7.49
ICICI Prudential Bharat Consumption Fund - Series 2 - Direct Plan,EQ-Consumption,NA,7.89
ICICI Prudential Bharat Consumption Fund - Series 3,EQ-Consumption,1.37,-0.10
ICICI Prudential Bharat Consumption Fund - Series 3 - Direct Plan,EQ-Consumption,NA,0.29
ICICI Prudential Bharat Consumption Fund - Series 4,EQ-Consumption,1.37,5.21
ICICI Prudential Bharat Consumption Fund - Series 4 - Direct Plan,EQ-Consumption,NA,5.69
ICICI Prudential Bharat Consumption Fund - Series 5,EQ-Consumption,1.34,7.95
ICICI Prudential Bharat Consumption Fund - Series 5 - Direct Plan,EQ-Consumption,NA,8.37
ICICI Prudential Bluechip Fund,EQ-LC,1.79,-1.95
ICICI Prudential Bluechip Fund - Direct Plan,EQ-LC,1.10,-1.34
ICICI Prudential Commodities Fund,EQ-THEMATIC,2.63,NA
ICICI Prudential Commodities Fund - Direct Plan,EQ-THEMATIC,0.84,NA
ICICI Prudential Dividend Yield Equity Fund,EQ-DIV Y,2.64,-8.37
ICICI Prudential Dividend Yield Equity Fund - Direct Plan,EQ-DIV Y,1.83,-7.64
ICICI Prudential Exports and Services Fund,EQ-THEMATIC,2.64,-3.26
ICICI Prudential Exports and Services Fund - Direct Plan,EQ-THEMATIC,1.96,-2.67
ICICI Prudential FMCG Fund,EQ-THEMATIC,2.61,4.26
ICICI Prudential FMCG Fund - Direct Plan,EQ-THEMATIC,1.72,4.99
ICICI Prudential Focused Equity Fund,EQ-MLC,2.75,1.63
ICICI Prudential Focused Equity Fund - Direct Plan,EQ-MLC,1.48,2.64
ICICI Prudential Global Advantage Fund (FOF),EQ-INTL,1.03,NA
ICICI Prudential Global Advantage Fund (FOF) - Direct Plan,EQ-INTL,0.46,NA
ICICI Prudential Global Stable Equity Fund (FOF),EQ-INTL,1.30,7.71
ICICI Prudential Global Stable Equity Fund (FOF) - Direct Plan,EQ-INTL,0.19,8.61
ICICI Prudential Growth Fund - Series 1,EQ-LC,1.39,-5.73
ICICI Prudential Growth Fund - Series 1 - Direct Plan,EQ-LC,NA,-5.43
ICICI Prudential Growth Fund - Series 2,EQ-LC,1.35,-3.38
ICICI Prudential Growth Fund - Series 2 - Direct Plan,EQ-LC,NA,-2.96
ICICI Prudential Growth Fund - Series 3,EQ-MLC,1.32,-6.24
ICICI Prudential Growth Fund - Series 3 - Direct Plan,EQ-MLC,NA,-5.85
ICICI Prudential India Equity FOF,EQ-MLC,1.06,NA
ICICI Prudential India Equity FOF - Direct Plan,EQ-MLC,0.15,NA
ICICI Prudential India Opportunities Fund,EQ-THEMATIC,2.13,-11.18
ICICI Prudential India Opportunities Fund - Direct Plan,EQ-THEMATIC,0.58,-9.73
ICICI Prudential Infrastructure Fund,EQ-INFRA,2.51,-18.74
ICICI Prudential Infrastructure Fund - Direct Plan,EQ-INFRA,1.94,-18.31
ICICI Prudential Large & Mid Cap Fund,EQ-L&MC,2.20,-7.56
ICICI Prudential Large & Mid Cap Fund - Direct Plan,EQ-L&MC,1.30,-6.86
ICICI Prudential Long Term Equity Fund (Tax Saving),EQ-ELSS,2.08,-4.59
ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan,EQ-ELSS,1.23,-3.93
ICICI Prudential Long Term Wealth Enhancement Fund,EQ-ELSS,1.35,-9.00
ICICI Prudential Long Term Wealth Enhancement Fund - Direct Plan,EQ-ELSS,NA,-8.55
ICICI Prudential Manufacture in India Fund,EQ-THEMATIC,2.46,-4.24
ICICI Prudential Manufacture in India Fund - Direct Plan,EQ-THEMATIC,1.46,-2.82
ICICI Prudential Midcap 150 ETF,EQ-MC,0.27,NA
ICICI Prudential Midcap Fund,EQ-MC,2.36,-7.74
ICICI Prudential Midcap Fund - Direct Plan,EQ-MC,1.32,-6.88
ICICI Prudential Midcap Select ETF,EQ-L&MC,0.45,-5.92
ICICI Prudential MNC Fund,EQ-MNC,2.48,4.70
ICICI Prudential MNC Fund - Direct Plan,EQ-MNC,1.07,6.19
ICICI Prudential Multicap Fund,EQ-MLC,2.06,-9.68
ICICI Prudential Multicap Fund - Direct Plan,EQ-MLC,1.02,-8.80
ICICI Prudential Nifty 100 ETF,EQ-LC,0.46,-1.13
ICICI Prudential Nifty ETF,EQ-LC,0.05,-1.03
ICICI Prudential Nifty Index Fund,EQ-LC,0.45,-1.44
ICICI Prudential Nifty Index Fund - Direct Plan,EQ-LC,0.10,-1.07
ICICI Prudential Nifty Low Vol 30 ETF,EQ-LC,0.42,5.15
ICICI Prudential Nifty Next 50 ETF,EQ-LC,0.15,-0.41
ICICI Prudential Nifty Next 50 Index Fund,EQ-LC,0.85,-1.10
ICICI Prudential Nifty Next 50 Index Fund - Direct Plan,EQ-LC,0.39,-0.69
ICICI Prudential NV20 ETF,EQ-LC,0.15,2.65
ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund,EQ-Pharma,2.33,41.46
ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund - Direct Plan,EQ-Pharma,1.37,43.59
ICICI Prudential Private Banks ETF,EQ-BANK,0.16,NA
ICICI Prudential Retirement Fund - Pure Equity Plan,EQ-MLC,2.44,-8.22
ICICI Prudential Retirement Fund - Pure Equity Plan - Direct Plan,EQ-MLC,0.97,-6.24
ICICI Prudential Sensex ETF,EQ-LC,0.08,0.74
ICICI Prudential Sensex Index Fund,EQ-LC,0.30,0.83
ICICI Prudential Sensex Index Fund - Direct Plan,EQ-LC,0.10,1.05
ICICI Prudential Smallcap Fund,EQ-SC,2.34,-8.12
ICICI Prudential Smallcap Fund - Direct Plan,EQ-SC,0.67,-6.78
ICICI Prudential S&P BSE 500 ETF,EQ-MLC,0.29,-0.94
ICICI Prudential Technology Fund,EQ-IT,2.62,9.61
ICICI Prudential Technology Fund - Direct Plan,EQ-IT,1.90,10.25
ICICI Prudential US Bluechip Equity Fund,EQ-INTL,2.60,22.13
ICICI Prudential US Bluechip Equity Fund - Direct Plan,EQ-INTL,1.68,23.23
ICICI Prudential Value Discovery Fund,EQ-VAL,1.90,-0.56
ICICI Prudential Value Discovery Fund - Direct Plan,EQ-VAL,1.27,-0.01
ICICI Prudential Value Fund - Series 12,EQ-LC,1.37,-9.29
ICICI Prudential Value Fund - Series 12 - Direct Plan,EQ-LC,NA,-8.93
ICICI Prudential Value Fund - Series 13,EQ-LC,1.34,-7.05
ICICI Prudential Value Fund - Series 13 - Direct Plan,EQ-LC,NA,-6.62
ICICI Prudential Value Fund - Series 14,EQ-LC,1.26,-5.18
ICICI Prudential Value Fund - Series 14 - Direct Plan,EQ-LC,NA,-4.63
ICICI Prudential Value Fund - Series 15,EQ-MLC,1.37,-8.36
ICICI Prudential Value Fund - Series 15 - Direct Plan,EQ-MLC,NA,-7.94
ICICI Prudential Value Fund - Series 16,EQ-MLC,1.39,-5.06
ICICI Prudential Value Fund - Series 16 - Direct Plan,EQ-MLC,NA,-4.75
ICICI Prudential Value Fund - Series 17,EQ-MLC,1.36,-8.78
ICICI Prudential Value Fund - Series 17 - Direct Plan,EQ-MLC,NA,-8.36
ICICI Prudential Value Fund - Series 18,EQ-MLC,1.35,-1.95
ICICI Prudential Value Fund - Series 18 - Direct Plan,EQ-MLC,NA,-1.55
ICICI Prudential Value Fund - Series 19,EQ-LC,1.34,-9.99
ICICI Prudential Value Fund - Series 19 - Direct Plan,EQ-LC,NA,-9.47
ICICI Prudential Value Fund - Series 20,EQ-LC,1.34,-7.96
ICICI Prudential Value Fund - Series 20 - Direct Plan,EQ-LC,NA,-7.53
ICICI Prudential Value Fund - Series 8,EQ-MLC,1.33,-5.41
ICICI Prudential Value Fund - Series 8 - Direct Plan,EQ-MLC,NA,-4.99
IDBI Banking & Financial Services Fund - Direct Plan,EQ-BANK,1.49,-12.73
IDBI Banking & Financial Services Fund - Regular Plan,EQ-BANK,2.55,-13.48
IDBI Diversified Equity Fund - Direct Plan,EQ-MLC,1.18,4.45
IDBI Diversified Equity Fund - Regular Plan,EQ-MLC,2.61,3.06
IDBI Dividend Yield Fund - Direct Plan,EQ-DIV Y,1.61,10.44
IDBI Dividend Yield Fund - Regular Plan,EQ-DIV Y,2.54,8.74
IDBI Equity Advantage Fund - Direct Plan,EQ-ELSS,1.20,1.67
IDBI Equity Advantage Fund - Regular Plan,EQ-ELSS,2.45,0.49
IDBI Focused 30 Equity Fund - Direct Plan,EQ-LC,1.58,3.03
IDBI Focused 30 Equity Fund - Regular Plan,EQ-LC,2.47,2.11
IDBI Healthcare Fund - Direct Plan,EQ-Pharma,1.43,39.06
IDBI Healthcare Fund - Regular Plan,EQ-Pharma,2.56,36.48
IDBI India Top 100 Equity Fund,EQ-LC,2.58,3.46
IDBI India Top 100 Equity Fund - Direct Plan,EQ-LC,1.38,4.58
IDBI Long Term Value Fund - Direct Plan,EQ-VAL,1.77,-4.85
IDBI Long Term Value Fund - Regular Plan,EQ-VAL,2.59,-5.54
IDBI Midcap Fund - Direct Plan,EQ-MC,1.70,3.26
IDBI Midcap Fund - Regular Plan,EQ-MC,2.61,2.33
IDBI Nifty Index Fund,EQ-LC,1.03,-2.08
IDBI Nifty Index Fund - Direct Plan,EQ-LC,0.30,-1.23
IDBI Nifty Junior Index Fund,EQ-LC,1.04,-0.71
IDBI Nifty Junior Index Fund - Direct Plan,EQ-LC,0.49,-0.16
IDBI Small Cap Fund - Direct Plan,EQ-SC,1.53,-7.83
IDBI Small Cap Fund - Regular Plan,EQ-SC,2.49,-8.70
IDFC Core Equity Fund - Direct Plan,EQ-L&MC,0.88,-5.35
IDFC Core Equity Fund - Regular Plan,EQ-L&MC,2.09,-6.48
IDFC Emerging Businesses Fund - Direct Plan,EQ-SC,0.45,NA
IDFC Emerging Businesses Fund - Regular Plan,EQ-SC,2.40,NA
IDFC Equity Opportunity Series 4 - Direct Plan,EQ-MLC,0.09,-17.77
IDFC Equity Opportunity Series 4 - Regular Plan,EQ-MLC,1.25,-18.72
IDFC Equity Opportunity Series 5 - Direct Plan,EQ-MLC,0.08,-0.11
IDFC Equity Opportunity Series 5 - Regular Plan,EQ-MLC,1.25,-1.19
IDFC Equity Opportunity Series 6 - Direct Plan,EQ-MLC,0.36,11.87
IDFC Equity Opportunity Series 6 - Regular Plan,EQ-MLC,1.31,10.79
IDFC Focused Equity Fund - Direct Plan,EQ-MLC,0.86,7.76
IDFC Focused Equity Fund - Regular Plan,EQ-MLC,2.22,6.35
IDFC Infrastructure Fund - Direct Plan,EQ-INFRA,1.44,-18.76
IDFC Infrastructure Fund - Regular Plan,EQ-INFRA,2.53,-19.66
IDFC Large Cap Fund - Direct Plan,EQ-LC,1.58,3.91
IDFC Large Cap Fund - Regular Plan,EQ-LC,2.58,2.98
IDFC Multi Cap Fund - Direct Plan,EQ-MLC,1.32,-3.45
IDFC Multi Cap Fund - Regular Plan,EQ-MLC,2.00,-4.10
IDFC Nifty ETF,EQ-LC,0.06,-0.83
IDFC Nifty Fund - Direct Plan,EQ-LC,0.15,-0.60
IDFC Nifty Fund - Regular Plan,EQ-LC,0.30,-0.77
IDFC Sensex ETF,EQ-LC,0.20,0.83
IDFC Sterling Value Fund - Direct Plan,EQ-VAL,1.03,-14.39
IDFC Sterling Value Fund - Regular Plan,EQ-VAL,2.12,-15.29
IDFC Tax Advantage (ELSS) Fund - Direct Plan,EQ-ELSS,1.05,-5.75
IDFC Tax Advantage (ELSS) Fund - Regular Plan,EQ-ELSS,2.12,-6.73
IIFL Focused Equity Fund - Direct Plan,EQ-MLC,0.90,10.11
IIFL Focused Equity Fund - Regular Plan,EQ-MLC,2.27,8.53
Indiabulls Bluechip Fund,EQ-LC,2.43,-4.69
Indiabulls Bluechip Fund - Direct Plan,EQ-LC,1.03,-3.28
Indiabulls Nifty 50 Exchange Traded Fund - Regular Plan,EQ-LC,0.12,-0.13
Indiabulls Tax Savings Fund - Direct Plan,EQ-ELSS,0.50,-2.73
Indiabulls Tax Savings Fund - Regular Plan,EQ-ELSS,2.25,-3.94
Indiabulls Value Fund - Direct Plan,EQ-VAL,0.50,-1.77
Indiabulls Value Fund - Regular Plan,EQ-VAL,2.30,-3.35
Invesco India Contra Fund,EQ-VAL,1.98,5.45
Invesco India Contra Fund - Direct Plan,EQ-VAL,0.69,6.59
Invesco India Feeder- Invesco Global Equity Income Fund - Direct Plan,EQ-INTL,0.51,3.95
Invesco India Feeder- Invesco Global Equity Income Fund - Regular Plan,EQ-INTL,1.17,3.25
Invesco India Feeder- Invesco Pan European Equity Fund - Direct Plan,EQ-INTL,0.29,0.43
Invesco India Feeder- Invesco Pan European Equity Fund - Regular Plan,EQ-INTL,0.65,-0.17
Invesco India Financial Services Fund,EQ-BANK,2.75,-9.67
Invesco India Financial Services Fund - Direct Plan,EQ-BANK,1.67,-8.71
Invesco India Growth Opportunities Fund,EQ-L&MC,2.09,1.31
Invesco India Growth Opportunities Fund - Direct Plan,EQ-L&MC,0.69,2.41
Invesco India Infrastructure Fund,EQ-INFRA,2.47,1.81
Invesco India Infrastructure Fund - Direct Plan,EQ-INFRA,1.31,3.33
Invesco India Largecap Fund,EQ-LC,2.62,1.32
Invesco India Largecap Fund - Direct Plan,EQ-LC,1.40,2.59
Invesco India Mid Cap Fund,EQ-MC,2.50,8.63
Invesco India Mid Cap Fund - Direct Plan,EQ-MC,0.99,10.12
Invesco India Multicap Fund,EQ-MLC,2.47,1.42
Invesco India Multicap Fund - Direct Plan,EQ-MLC,1.11,2.72
Invesco India Nifty Exchange Traded Fund,EQ-LC,0.10,-1.09
Invesco India PSU Equity Fund,EQ-PSU,2.46,7.59
Invesco India PSU Equity Fund - Direct Plan,EQ-PSU,1.48,8.49
Invesco India Smallcap Fund - Direct Plan,EQ-SC,0.85,8.06
Invesco India Smallcap Fund - Regular Plan,EQ-SC,2.54,6.40
Invesco India Tax Plan,EQ-ELSS,2.41,4.58
Invesco India Tax Plan - Direct Plan,EQ-ELSS,1.15,5.76
ITI Long Term Equity Fund - Direct Plan,EQ-ELSS,0.38,NA
ITI Long Term Equity Fund - Regular Plan,EQ-ELSS,2.58,NA
ITI Multi Cap Fund - Direct Plan,EQ-MLC,0.48,-3.87
ITI Multi Cap Fund - Regular Plan,EQ-MLC,2.63,-5.94
ITI Small Cap Fund - Direct Plan,EQ-SC,0.31,NA
ITI Small Cap Fund - Regular Plan,EQ-SC,2.56,NA
JM Core 11 Fund,EQ-LC,1.62,-6.48
JM Core 11 Fund - Direct Plan,EQ-LC,1.22,-4.83
JM Large Cap Fund,EQ-LC,1.99,5.03
JM Large Cap Fund - Direct Plan,EQ-LC,0.48,6.06
JM Multicap Fund,EQ-MLC,2.50,0.50
JM Multicap Fund - Direct Plan,EQ-MLC,1.32,1.29
JM Tax Gain Fund,EQ-ELSS,2.34,0.42
JM Tax Gain Fund - Direct Plan,EQ-ELSS,0.80,1.17
JM Value Fund,EQ-VAL,2.54,0.48
JM Value Fund - Direct Plan,EQ-VAL,1.50,1.14
Kotak Banking ETF Fund Regular,EQ-BANK,0.18,-22.94
Kotak Bluechip Fund - Direct Plan,EQ-LC,1.14,4.30
Kotak Bluechip Fund - Regular Plan,EQ-LC,2.28,3.16
Kotak Emerging Equity Fund - Direct Plan,EQ-MC,0.63,2.29
Kotak Emerging Equity Fund Regular Plan,EQ-MC,1.93,1.01
Kotak Equity Opportunities Fund - Direct Plan,EQ-L&MC,0.89,5.16
Kotak Equity Opportunities Fund - Regular Plan,EQ-L&MC,2.07,4.03
Kotak Focused Equity Fund - Direct Plan,EQ-MLC,0.39,NA
Kotak Focused Equity Fund - Regular Plan,EQ-MLC,2.11,NA
Kotak Global Emerging Market - Direct Plan,EQ-INTL,1.16,17.62
