Value Research,,,
SBI Long Term Advantage Fund Series III - Regular Plan,EQ-ELSS,1.38,-2.20
SBI Long Term Advantage Fund Series II - Regular Plan,EQ-ELSS,1.40,-1.08
SBI Long Term Advantage Fund Series I - Regular Plan,EQ-ELSS,1.40,-3.65
SBI Long Term Advantage Fund Series IV - Direct Plan,EQ-ELSS,0.88,9.62
SBI Long Term Advantage Fund Series IV - Regular Plan,EQ-ELSS,1.38,9.07
SBI Long Term Advantage Fund Series V - Direct Plan,EQ-ELSS,0.76,-1.12
SBI Long Term Advantage Fund Series VI - Direct Plan,EQ-ELSS,0.70,-0.43
SBI Long Term Advantage Fund Series VI - Regular Plan,EQ-ELSS,1.53,-1.07
SBI Long Term Advantage Fund Series V - Regular Plan,EQ-ELSS,1.36,-1.71
SBI Long Term Equity Fund,EQ-ELSS,1.85,-1.99
SBI Long Term Equity Fund - Direct Plan,EQ-ELSS,1.33,-1.36
SBI Magnum COMMA Fund,EQ-THEMATIC,2.58,4.83
SBI Magnum COMMA Fund - Direct Plan,EQ-THEMATIC,2.02,5.42
SBI Magnum Equity ESG Fund,EQ-THEMATIC,2.21,-0.87
SBI Magnum Equity ESG Fund - Direct Plan,EQ-THEMATIC,1.38,-0.06
SBI Magnum Global Fund,EQ-MNC,2.14,10.31
SBI Magnum Global Fund - Direct Plan,EQ-MNC,1.31,11.21
SBI Magnum Midcap Fund,EQ-MC,2.19,2.50
SBI Magnum Midcap Fund - Direct Plan,EQ-MC,1.19,3.49
SBI Magnum Multicap Fund,EQ-MLC,2.10,-5.51
SBI Magnum Multicap Fund - Direct Plan,EQ-MLC,0.97,-4.57
SBI Nifty Index Fund,EQ-LC,0.49,-2.22
SBI Nifty Index Fund - Direct Plan,EQ-LC,0.14,-1.79
SBI PSU Fund,EQ-PSU,2.56,-16.32
SBI PSU Fund - Direct Plan,EQ-PSU,1.96,-15.82
SBI Small Cap Fund,EQ-SC,2.21,3.46
SBI Small Cap Fund - Direct Plan,EQ-SC,0.89,4.79
SBI Tax Advantage Fund - Series II,EQ-ELSS,1.46,11.21
SBI Tax Advantage Fund - Series III - Direct Plan,EQ-ELSS,0.88,17.02
SBI Tax Advantage Fund - Series III - Regular Plan,EQ-ELSS,1.38,16.44
SBI Technology Opportunities Fund,EQ-IT,2.52,11.95
SBI Technology Opportunities Fund - Direct Plan,EQ-IT,1.80,12.84
Shriram Long Term Equity Fund - Direct Plan,EQ-ELSS,0.60,8.91
Shriram Long Term Equity Fund - Regular Plan,EQ-ELSS,2.55,6.83
Shriram Multicap Fund - Direct Plan,EQ-MLC,0.65,1.32
Shriram Multicap Fund - Regular Plan,EQ-MLC,2.55,-0.53
Sundaram Diversified Equity Fund,EQ-ELSS,2.17,-6.82
Sundaram Diversified Equity Fund - Direct Plan,EQ-ELSS,1.81,-6.47
Sundaram Emerging Small Cap Series 1 - Direct Plan,EQ-SC,0.93,-11.36
Sundaram Emerging Small Cap Series 1 - Regular Plan,EQ-SC,1.38,-11.75
Sundaram Emerging Small Cap Series II - Direct Plan,EQ-SC,0.54,-11.12
Sundaram Emerging Small Cap Series III - Direct Plan,EQ-SC,0.75,-10.44
Sundaram Emerging Small Cap Series III - Regular Plan,EQ-SC,1.35,-10.97
Sundaram Emerging Small Cap Series II - Regular Plan,EQ-SC,1.32,-11.81
Sundaram Emerging Small Cap Series IV - Direct Plan,EQ-SC,0.74,-9.32
Sundaram Emerging Small Cap Series IV - Regular Plan,EQ-SC,1.34,-9.87
Sundaram Emerging Small Cap Series V - Direct Plan,EQ-SC,0.79,-10.52
Sundaram Emerging Small Cap Series VI - Direct Plan,EQ-SC,0.79,-7.57
Sundaram Emerging Small Cap Series VII - Direct Plan,EQ-SC,0.96,4.49
Sundaram Emerging Small Cap Series VII - Regular Plan,EQ-SC,1.37,4.06
Sundaram Emerging Small Cap Series VI - Regular Plan,EQ-SC,1.35,-8.08
Sundaram Emerging Small Cap Series V - Regular Plan,EQ-SC,1.35,-11.02
Sundaram Equity Fund - Direct Plan,EQ-MLC,0.42,NA
Sundaram Equity Fund - Regular Plan,EQ-MLC,2.45,NA
Sundaram Financial Services Opportunities Fund - Direct Plan,EQ-BANK,1.66,-9.36
Sundaram Financial Services Opportunities Fund - Institutional Plan,EQ-BANK,NA,-9.36
Sundaram Financial Services Opportunities Fund - Regular Plan,EQ-BANK,2.45,-10.05
Sundaram Global Brand Fund,EQ-INTL,2.38,14.34
Sundaram Global Brand Fund - Direct Plan,EQ-INTL,1.77,14.87
Sundaram Infrastructure Advantage Fund - Direct Plan,EQ-INFRA,2.19,-12.55
Sundaram Infrastructure Advantage Fund - Regular Plan,EQ-INFRA,2.68,-12.95
Sundaram Large and Mid Cap Fund,EQ-L&MC,2.22,-2.93
Sundaram Large and Mid Cap Fund - Direct Plan,EQ-L&MC,0.78,-1.75
Sundaram Long Term Micro Cap Tax Advantage Fund Series III - Direct Plan,EQ-ELSS,1.28,-14.43
Sundaram Long Term Micro Cap Tax Advantage Fund Series III - Regular Plan,EQ-ELSS,1.43,-14.56
Sundaram Long Term Micro Cap Tax Advantage Fund Series IV - Direct Plan,EQ-ELSS,1.28,-13.24
Sundaram Long Term Micro Cap Tax Advantage Fund Series IV - Regular Plan,EQ-ELSS,1.43,-13.35
Sundaram Long Term Micro Cap Tax Advantage Fund Series V - Direct Plan,EQ-ELSS,1.07,-13.82
Sundaram Long Term Micro Cap Tax Advantage Fund Series VI - Direct Plan,EQ-ELSS,1.12,-13.81
Sundaram Long Term Micro Cap Tax Advantage Fund Series VI - Regular Plan,EQ-ELSS,1.40,-14.05
Sundaram Long Term Micro Cap Tax Advantage Fund Series V - Regular Plan,EQ-ELSS,1.40,-14.09
Sundaram Long Term Tax Advantage Fund Series I - Direct Plan,EQ-ELSS,0.96,0.68
Sundaram Long Term Tax Advantage Fund Series II - Direct Plan,EQ-ELSS,1.20,1.66
Sundaram Long Term Tax Advantage Fund Series III - Direct Plan,EQ-ELSS,1.21,-14.14
Sundaram Long Term Tax Advantage Fund Series III - Regular Plan,EQ-ELSS,1.42,-14.33
Sundaram Long Term Tax Advantage Fund Series II - Regular Plan,EQ-ELSS,1.41,1.42
Sundaram Long Term Tax Advantage Fund Series I - Regular Plan,EQ-ELSS,1.38,0.36
Sundaram Long Term Tax Advantage Fund Series IV - Direct Plan,EQ-ELSS,1.11,-12.37
Sundaram Long Term Tax Advantage Fund Series IV - Regular Plan,EQ-ELSS,1.40,-12.62
Sundaram Mid Cap Fund - Direct Plan,EQ-MC,1.18,-7.03
Sundaram Mid Cap Fund - Institutional Plan,EQ-MC,NA,-7.03
Sundaram Mid Cap Fund - Regular Plan,EQ-MC,2.04,-7.75
Sundaram Multi Cap Fund - Series I - Direct Plan,EQ-MLC,0.79,10.40
Sundaram Multi Cap Fund - Series II - Direct Plan,EQ-MLC,0.79,10.29
Sundaram Multi Cap Fund - Series II - Regular Plan,EQ-MLC,1.35,9.67
Sundaram Multi Cap Fund - Series I - Regular Plan,EQ-MLC,1.35,9.78
Sundaram Rural and Consumption Fund - Direct Plan,EQ-Consumption,1.45,2.10
Sundaram Rural and Consumption Fund - Regular Plan,EQ-Consumption,2.28,1.28
Sundaram Select Focus Fund - Direct Plan,EQ-LC,1.43,0.86
Sundaram Select Focus Fund - Institutional Plan,EQ-LC,NA,0.86
Sundaram Select Focus Fund - Regular Plan,EQ-LC,2.42,0.04
Sundaram Select Micro Cap Fund - Series IX - Direct Plan,EQ-SC,1.21,-14.42
Sundaram Select Micro Cap Fund - Series IX - Regular Plan,EQ-SC,1.42,-14.63
Sundaram Select Micro Cap Fund - Series VIII - Direct Plan,EQ-SC,1.21,-14.43
Sundaram Select Micro Cap Fund - Series VIII - Regular Plan,EQ-SC,1.42,-14.64
Sundaram Select Micro Cap Fund - Series X - Direct Plan,EQ-SC,1.21,-16.02
Sundaram Select Micro Cap Fund - Series X - Regular Plan,EQ-SC,1.42,-16.23
Sundaram Select Micro Cap Series XI - Direct Plan,EQ-SC,1.02,-11.73
Sundaram Select Micro Cap Series XII - Direct Plan,EQ-SC,1.00,-12.16
Sundaram Select Micro Cap Series XII - Regular Plan,EQ-SC,1.39,-12.50
Sundaram Select Micro Cap Series XI - Regular Plan,EQ-SC,1.39,-12.06
Sundaram Select Micro Cap Series XIV - Direct Plan,EQ-SC,0.73,-10.78
Sundaram Select Micro Cap Series XIV - Regular Plan,EQ-SC,1.34,-11.33
Sundaram Select Micro Cap Series XV - Direct Plan,EQ-SC,0.68,-11.84
Sundaram Select Micro Cap Series XVI - Direct Plan,EQ-SC,0.76,-11.29
Sundaram Select Micro Cap Series XVII - Direct Plan,EQ-SC,0.82,-11.93
Sundaram Select Micro Cap Series XVII - Regular Plan,EQ-SC,1.36,-12.40
Sundaram Select Micro Cap Series XVI - Regular Plan,EQ-SC,1.35,-11.81
Sundaram Select Micro Cap Series XV - Regular Plan,EQ-SC,1.34,-12.42
Sundaram Select Small Cap Series V - Direct Plan,EQ-MC,0.52,-0.96
Sundaram Select Small Cap Series VI - Direct Plan,EQ-MC,0.83,-1.06
Sundaram Select Small Cap Series VI - Regular Plan,EQ-MC,1.36,-1.58
Sundaram Select Small Cap Series V - Regular Plan,EQ-MC,1.31,-1.74
Sundaram Services Fund - Direct Plan,EQ-THEMATIC,1.24,4.65
Sundaram Services Fund - Regular Plan,EQ-THEMATIC,2.38,3.72
Sundaram Small Cap Fund - Direct Plan,EQ-SC,1.44,-7.77
Sundaram Small Cap Fund - Institutional Plan,EQ-SC,NA,-7.78
Sundaram Small Cap Fund - Regular Plan,EQ-SC,2.51,-8.63
Sundaram Smart NIFTY 100 Equal Weight Fund - Direct Plan,EQ-LC,0.43,-3.97
Sundaram Smart NIFTY 100 Equal Weight Fund - Regular Plan,EQ-LC,0.95,-4.44
Sundaram Value Fund Series III - Direct Plan,EQ-MLC,1.34,1.74
Sundaram Value Fund Series III - Regular Plan,EQ-MLC,1.44,1.64
Sundaram Value Fund Series IX - Direct Plan,EQ-MLC,0.72,5.82
Sundaram Value Fund Series IX - Regular Plan,EQ-MLC,1.34,5.16
Sundaram Value Fund Series VII - Direct Plan,EQ-SC,0.83,-22.20
Sundaram Value Fund Series VIII - Direct Plan,EQ-MLC,1.07,-10.67
Sundaram Value Fund Series VIII - Regular Plan,EQ-MLC,1.39,-10.96
Sundaram Value Fund Series VII - Regular Plan,EQ-SC,1.36,-22.61
Sundaram Value Fund Series X - Direct Plan,EQ-MLC,0.73,5.66
Sundaram Value Fund Series X - Regular Plan,EQ-MLC,1.34,5.02
Tata Banking and Financial Services Fund - Direct Plan,EQ-BANK,1.08,-7.04
Tata Banking and Financial Services Fund - Regular Plan,EQ-BANK,1.68,-8.47
Tata Digital India Fund - Direct Plan,EQ-IT,1.13,10.89
Tata Digital India Fund - Regular Plan,EQ-IT,2.21,9.07
Tata Equity PE Fund - Direct Plan,EQ-VAL,0.78,2.13
Tata Equity PE Fund - Regular Plan,EQ-VAL,1.96,0.65
Tata Ethical Fund - Direct Plan,EQ-THEMATIC,1.35,9.34
Tata Ethical Fund - Regular Plan,EQ-THEMATIC,2.51,8.14
Tata Focused Equity Fund - Direct Plan,EQ-MLC,0.54,NA
Tata Focused Equity Fund - Regular Plan,EQ-MLC,2.23,NA
Tata Index Nifty Fund - Direct Plan,EQ-LC,0.05,-1.19
Tata Index Nifty Fund - Regular Plan,EQ-LC,1.00,-1.70
Tata Index Sensex Fund - Direct Plan,EQ-LC,0.05,0.78
Tata Index Sensex Fund - Regular Plan,EQ-LC,1.00,0.05
Tata India Consumer Fund - Direct Plan,EQ-Consumption,0.88,8.92
Tata India Consumer Fund - Regular Plan,EQ-Consumption,2.35,7.32
Tata India Pharma & HealthCare Fund - Direct Plan,EQ-Pharma,1.20,31.89
Tata India Pharma & HealthCare Fund - Regular Plan,EQ-Pharma,2.41,29.88
Tata India Tax Savings Fund,EQ-ELSS,2.31,-3.45
Tata India Tax Savings Fund - Direct Plan,EQ-ELSS,0.76,-1.98
Tata Infrastructure Fund - Direct Plan,EQ-INFRA,1.84,-14.69
Tata Infrastructure Fund - Regular Plan,EQ-INFRA,2.57,-15.32
Tata Large Cap Fund - Direct Plan,EQ-LC,1.71,-5.22
Tata Large Cap Fund - Regular Plan,EQ-LC,2.57,-6.04
Tata Large & Mid Cap Fund - Direct Plan,EQ-L&MC,1.15,1.36
Tata Large & Mid Cap Fund - Regular Plan,EQ-L&MC,2.17,0.17
Tata Midcap Growth Fund - Direct Plan,EQ-MC,1.27,2.92
Tata Midcap Growth Fund - Regular Plan,EQ-MC,2.54,1.50
Tata Multicap Fund - Direct Plan,EQ-MLC,0.84,5.23
Tata Multicap Fund - Regular Plan,EQ-MLC,2.24,3.27
Tata Nifty Exchange Traded Fund - Regular Plan,EQ-LC,0.07,-0.87
Tata Nifty Private Bank Exchange Traded Fund - Regular Plan,EQ-BANK,0.13,NA
Tata Quant Fund - Direct Plan,EQ-THEMATIC,0.89,NA
Tata Quant Fund - Regular Plan,EQ-THEMATIC,2.69,NA
Tata Resources & Energy Fund - Direct Plan,EQ-Energy,1.10,16.68
Tata Resources & Energy Fund - Regular Plan,EQ-Energy,2.73,14.73
Tata Retirement Savings Fund - Progressive Plan - Direct Plan,EQ-MLC,0.89,6.41
Tata Retirement Savings Fund - Progressive Plan - Regular Plan,EQ-MLC,2.50,4.70
Tata Small Cap Fund - Direct Plan,EQ-SC,1.03,2.60
Tata Small Cap Fund - Regular Plan,EQ-SC,2.47,0.72
Tata Value Fund Series 1 - Direct Plan,EQ-VAL,0.15,1.85
Tata Value Fund Series 1 - Regular Plan,EQ-VAL,1.52,0.67
Tata Value Fund Series 2 - Direct Plan,EQ-VAL,0.17,1.83
Tata Value Fund Series 2 - Regular Plan,EQ-VAL,1.67,0.61
Taurus Banking & Financial Services Fund - Direct Plan,EQ-BANK,2.16,-11.41
Taurus Banking & Financial Services Fund - Regular Plan,EQ-BANK,2.46,-11.99
Taurus Discovery (Midcap) Fund - Direct Plan,EQ-MC,2.02,9.32
Taurus Discovery (Midcap) Fund - Regular Plan,EQ-MC,2.52,8.87
Taurus Ethical Fund - Direct Plan,EQ-THEMATIC,0.08,10.63
Taurus Ethical Fund - Regular Plan,EQ-THEMATIC,2.29,9.44
Taurus Infrastructure Fund - Direct Plan,EQ-INFRA,2.37,-0.99
Taurus Infrastructure Fund - Regular Plan,EQ-INFRA,2.52,-1.46
Taurus Largecap Equity Fund - Direct Plan,EQ-LC,2.42,-3.87
Taurus Largecap Equity Fund - Regular Plan,EQ-LC,2.57,-4.13
Taurus Nifty Index Fund - Direct Plan,EQ-LC,0.74,-1.44
Taurus Nifty Index Fund - Regular Plan,EQ-LC,1.09,-1.67
Taurus Starshare (Multi Cap) Fund - Direct Plan,EQ-MLC,2.29,-7.47
Taurus Starshare (Multi Cap) Fund - Regular Plan,EQ-MLC,2.59,-7.60
Taurus Tax Shield Fund - Direct Plan,EQ-ELSS,0.93,0.81
Taurus Tax Shield Fund - Regular Plan,EQ-ELSS,2.33,-0.04
Templeton India Equity Income Fund,EQ-DIV Y,2.40,-5.23
Templeton India Equity Income Fund - Direct Plan,EQ-DIV Y,1.21,-4.28
Templeton India Value Fund,EQ-VAL,2.54,-13.10
Templeton India Value Fund - Direct Plan,EQ-VAL,1.54,-12.26
Union Focused Fund - Direct Plan,EQ-MLC,1.53,NA
Union Focused Fund - Regular Plan,EQ-MLC,2.57,NA
Union Largecap Fund - Direct Plan,EQ-LC,1.87,0.47
Union Largecap Fund - Regular Plan,EQ-LC,2.55,-0.09
Union Large & Midcap Fund - Direct Plan,EQ-L&MC,1.44,NA
Union Large & Midcap Fund - Regular Plan,EQ-L&MC,2.49,NA
Union Long Term Equity Fund,EQ-ELSS,2.51,4.67
Union Long Term Equity Fund - Direct Plan,EQ-ELSS,1.94,5.06
Union Midcap Fund - Direct Plan,EQ-MC,1.48,NA
Union Midcap Fund - Regular Plan,EQ-MC,2.48,NA
Union Multi Cap Fund,EQ-MLC,2.56,4.59
Union Multi Cap Fund - Direct Plan,EQ-MLC,1.73,5.39
Union Small Cap Fund - Direct Plan,EQ-SC,1.79,6.04
Union Small Cap Fund - Regular Plan,EQ-SC,2.54,5.26
Union Value Discovery Fund - Direct Plan,EQ-VAL,1.78,2.64
Union Value Discovery Fund - Regular Plan,EQ-VAL,2.52,1.87
UTI Banking and Financial Services Fund - Direct Plan,EQ-BANK,1.83,-23.45
UTI Banking and Financial Services Fund - Regular Plan,EQ-BANK,2.80,-24.14
UTI Children's Career Fund-Investment Plan - Direct Plan,EQ-MLC,1.86,3.99
UTI Children's Career Fund-Investment Plan - Regular Plan,EQ-MLC,2.37,3.11
UTI Core Equity Fund - Direct Plan,EQ-L&MC,2.11,-6.99
UTI Core Equity Fund - Regular Plan,EQ-L&MC,2.39,-7.42
UTI Dividend Yield Fund - Direct Plan,EQ-DIV Y,1.66,4.10
UTI Dividend Yield Fund - Regular Plan,EQ-DIV Y,2.05,3.54
UTI Equity Fund - Direct Plan,EQ-MLC,1.40,8.75
UTI Equity Fund - Regular Plan,EQ-MLC,1.74,8.10
UTI Focussed Equity Fund - Series I (2195 Days) - Direct Plan,EQ-MLC,NA,6.30
UTI Focussed Equity Fund - Series I (2195 Days) - Regular Plan,EQ-MLC,1.39,5.98
UTI Focussed Equity Fund Series IV (1104 Days) - Direct Plan,EQ-MLC,NA,5.51
UTI Focussed Equity Fund Series IV (1104 Days) - Regular Plan,EQ-MLC,1.36,5.14
UTI Focussed Equity Fund Series V (1102 Days) - Direct Plan,EQ-MLC,NA,5.46
UTI Focussed Equity Fund Series V (1102 Days) - Regular Plan,EQ-MLC,1.28,4.88
UTI Focussed Equity Fund Series VI (1150 Days) - Direct Plan,EQ-MLC,NA,6.45
UTI Focussed Equity Fund Series VI (1150 Days) - Regular Plan,EQ-MLC,1.28,5.92
UTI Healthcare Fund - Direct Plan,EQ-Pharma,1.77,39.34
UTI Healthcare Fund - Regular Plan,EQ-Pharma,2.81,38.06
UTI India Consumer Fund - Direct Plan,EQ-Consumption,2.22,8.92
UTI India Consumer Fund - Regular Plan,EQ-Consumption,2.53,8.41
UTI Infrastructure Fund - Direct Plan,EQ-INFRA,2.08,-15.05
UTI Infrastructure Fund - Regular Plan,EQ-INFRA,2.33,-15.38
UTI Long Term Advantage Fund - Series III - Direct Plan,EQ-ELSS,NA,-1.48
UTI Long Term Advantage Fund - Series III - Regular Plan,EQ-ELSS,1.40,-1.63
UTI Long Term Advantage Fund - Series IV - Direct Plan,EQ-ELSS,NA,-9.23
UTI Long Term Advantage Fund - Series IV - Regular Plan,EQ-ELSS,1.35,-9.54
UTI Long Term Advantage Fund - Series V - Direct Plan,EQ-ELSS,NA,-6.76
UTI Long Term Advantage Fund - Series VI - Direct Plan,EQ-ELSS,NA,4.14
UTI Long Term Advantage Fund - Series VII - Direct Plan,EQ-ELSS,NA,6.03
UTI Long Term Advantage Fund - Series VII - Regular Plan,EQ-ELSS,1.30,5.66
UTI Long Term Advantage Fund - Series VI - Regular Plan,EQ-ELSS,1.29,3.62
UTI Long Term Advantage Fund - Series V - Regular Plan,EQ-ELSS,1.30,-7.03
UTI Long Term Equity Fund,EQ-ELSS,2.32,3.04
UTI Long Term Equity Fund - Direct Plan,EQ-ELSS,1.51,4.02
UTI Master Equity Plan Unit Scheme,EQ-ELSS,1.43,-4.13
UTI Mastershare Fund - Direct Plan,EQ-LC,1.22,1.56
UTI Mastershare Fund - Regular Plan,EQ-LC,1.88,0.73
UTI Mid Cap Fund - Direct Plan,EQ-MC,1.32,5.50
UTI Mid Cap Fund - Regular Plan,EQ-MC,2.01,4.61
UTI MNC Fund - Direct Plan,EQ-MNC,1.42,8.74
UTI MNC Fund - Regular Plan,EQ-MNC,2.21,7.83
UTI Nifty Exchange Traded Fund,EQ-LC,0.07,-1.11
UTI Nifty Index Fund - Direct Plan,EQ-LC,0.10,-1.24
UTI Nifty Index Fund - Regular Plan,EQ-LC,0.17,-1.31
UTI Nifty Next 50 Exchange Traded Fund - Regular Plan,EQ-LC,0.15,0.39
UTI Nifty Next 50 Index Fund - Direct Plan,EQ-LC,0.27,0.19
UTI Nifty Next 50 Index Fund - Regular Plan,EQ-LC,0.77,-0.33
UTI Sensex Exchange Traded Fund,EQ-LC,0.07,0.71
UTI S&P BSE Sensex Next 50 ETF - Regular Plan,EQ-LC,0.22,-8.18
UTI Transportation and Logistics Fund - Direct Plan,EQ-THEMATIC,1.41,-3.29
UTI Transportation and Logistics Fund - Regular Plan,EQ-THEMATIC,2.46,-4.25
UTI Value Opportunities Fund - Direct Plan,EQ-VAL,1.45,3.22
UTI Value Opportunities Fund - Regular Plan,EQ-VAL,1.84,2.58
